id,rg,cpf,nome,apartamento,telefone,mensalidadesAtrasadas,cnpjCondominio
1,326501848,061.947.258-85,Mirella Araújo,"SKYLINE RESIDENCES, 1",+55 (011) 9879-8133,1,63.708.295/0001-75
2,732810656,904.685.137-01,Sra. Milena Rodrigues,"SKYLINE RESIDENCES, 2",+55 71 4598 5655,4,63.708.295/0001-75
3,612053878,461.830.952-06,Thomas Campos,"SKYLINE RESIDENCES, 3",+55 21 3211 0643,2,63.708.295/0001-75
4,037152683,218.076.953-95,Marcela Pinto,"SKYLINE RESIDENCES, 4",+55 (071) 4377-7045,10,63.708.295/0001-75
5,346017853,691.507.834-75,Rafael da Rocha,"SKYLINE RESIDENCES, 5",+55 (031) 7848-8485,4,63.708.295/0001-75
6,385624700,043.165.279-16,Sofia Araújo,"SKYLINE RESIDENCES, 6",+55 81 7404 4183,7,63.708.295/0001-75
7,048132676,345.829.716-28,Ana Vitória Pereira,"SKYLINE RESIDENCES, 7",+55 (084) 1771-9063,5,63.708.295/0001-75
8,862074137,471.356.029-43,Ana Carolina Martins,"SKYLINE RESIDENCES, 8",+55 81 2262 8610,3,63.708.295/0001-75
9,081572633,689.713.205-59,Pedro Miguel Correia,"SKYLINE RESIDENCES, 9",+55 (084) 1700 6888,4,63.708.295/0001-75
10,648032577,260.357.814-62,Dr. Miguel da Rocha,"SKYLINE RESIDENCES, 10",(021) 6183-4256,3,63.708.295/0001-75
11,735416023,369.152.840-60,Erick Oliveira,"SKYLINE RESIDENCES, 11",+55 81 2125-5504,8,63.708.295/0001-75
12,602473159,540.716.329-25,Srta. Brenda Rodrigues,"SKYLINE RESIDENCES, 12",+55 (021) 2076-6228,10,63.708.295/0001-75
13,425360714,795.234.108-14,Isabel Pires,"SKYLINE RESIDENCES, 13",+55 81 6649-1840,3,63.708.295/0001-75
14,17548630X,985.427.160-94,Clara Pinto,"SKYLINE RESIDENCES, 14",+55 61 3117 7341,1,63.708.295/0001-75
15,410287362,270.614.385-17,Cecília Alves,"SKYLINE RESIDENCES, 15",+55 11 3671 2868,3,63.708.295/0001-75
1,436275806,480.219.735-79,Fernanda Pereira,"THE ROCHESTER RESIDENCES, 1",0900-518-5288,3,84.501.392/0001-62
2,351406724,960.523.871-30,Raul Freitas,"THE ROCHESTER RESIDENCES, 2",(011) 4012-5732,1,84.501.392/0001-62
3,863250476,138.490.762-96,Srta. Nicole Melo,"THE ROCHESTER RESIDENCES, 3",+55 41 9073 2361,8,84.501.392/0001-62
4,653708129,125.946.807-02,Sra. Ana Beatriz da Conceição,"THE ROCHESTER RESIDENCES, 4",0300 727 9359,10,84.501.392/0001-62
5,057423611,981.042.357-88,Dra. Luana Freitas,"THE ROCHESTER RESIDENCES, 5",+55 (041) 9870 1037,1,84.501.392/0001-62
6,482371560,568.491.723-28,Eduardo Rodrigues,"THE ROCHESTER RESIDENCES, 6",81 0877-5798,4,84.501.392/0001-62
7,308427610,895.406.721-20,Sofia Fernandes,"THE ROCHESTER RESIDENCES, 7",(021) 8337 9521,3,84.501.392/0001-62
8,560287343,542.871.906-02,Eduarda Moreira,"THE ROCHESTER RESIDENCES, 8",+55 31 2383-8456,2,84.501.392/0001-62
9,471380568,851.360.924-24,Bárbara Cunha,"THE ROCHESTER RESIDENCES, 9",(051) 6342 2779,5,84.501.392/0001-62
10,382750469,691.548.732-82,Juan Nunes,"THE ROCHESTER RESIDENCES, 10",+55 41 7670 3118,9,84.501.392/0001-62
11,704563216,072.149.683-04,Júlia Almeida,"THE ROCHESTER RESIDENCES, 11",0500-286-6458,10,84.501.392/0001-62
12,672815345,370.861.524-71,Laís Nunes,"THE ROCHESTER RESIDENCES, 12",+55 (071) 0265-3052,5,84.501.392/0001-62
13,804125764,718.205.346-26,Diogo Barros,"THE ROCHESTER RESIDENCES, 13",0500 949 4933,9,84.501.392/0001-62
